user,review_count,median_rating,max_rating,min_rating,mean_rating
_hk_,667,7,10,3,6.60119940029985
_The_Inquiry_,1372,6,10,1,5.905247813411079
_tk_,1442,5,10,2,5.377253814147018
-mIDE-,560,7.5,9.5,1,7.0285714285714285
1 Family Meeple,745,6,10,1,6.050939597315436
1000rpm,669,7,10,1,6.900597907324364
100pcBlade,567,6,10,1,6.306878306878307
1Aspielerin,588,6,10,2,6.136054421768708
1nf1n1ty,515,6,10,2,5.9615533980582525
28green,764,6,10,2,6.329842931937173
42amu,696,7,10,1,7.33117816091954
549sd,1029,7,10,1,6.578231292517007
5th Beatles,515,6,10,1,5.242718446601942
7-Brainbug,630,8,10,1,7.601269841269842
aandjso,848,8,10,3,7.694516509433963
aardvarkdv,680,7,9,4,7.041176470588235
Aarkas,624,7,10,3,7.198717948717949
AaronBE85,583,7.3,10,3,7.29451114922813
aaronseeber,1260,7,9.5,2,6.428968253968254
aaxiom,520,7.25,10,1,7.255769230769231
abbottj83,1125,7,10,1,7.272444444444444
abbywill,660,6,10,1,5.498484848484848
Abdul,594,6,10,2,6.252525252525253
Aberasturi,756,6,10,2,6.5132275132275135
Abiteacher,699,6.5,10,2,6.304721030042918
Abso,1551,6,10,1,5.399097356544165
Acenchious,590,7,10,2,6.772372881355932
Acido,893,6.3,9,2,6.250727883538634
acidshampoo,768,7,10,2,7.388020833333333
aciosek,689,7,10,1,6.843396226415094
ackiel360,519,7,10,2,6.945086705202312
acolyte,618,7,10,1,6.694174757281553
adaleigh,512,8.5,10,7,8.47119140625
Adam78,612,7,10,5,7.125816993464053
AdamCatant,538,6,10,1,5.8262081784386615
adamdynris,1162,7,10,3,7.003700516351119
adams,769,7,10,2,6.943433029908973
adamscott,690,6,10,1,6.37536231884058
adamtattoo,671,7.5,10,2,7.336140089418778
adamw,718,6.5,9.5,2,6.424791086350975
adamxpaul,605,7,10,1,6.560330578512397
Adanedhel,628,7.5,10,1,7.236305732484077
adangabiola,785,7,10,1,7.0375286624203826
adebisi,754,6,10,1,5.514588859416445
Adidas02,513,7,9,4,6.923781676413255
adikom5777,972,7,10,2,6.880041152263375
Admiral Fisher,747,6,10,1,6.172958500669344
Admje14,658,6.5,10,1,6.498480243161095
Adrian Rz1,665,7,10,2,7.01203007518797
Adrimetum,684,8,10,1,7.718567251461988
AfarOca,569,7,10,1,6.9086115992970125
Affenberg,724,6,10,1.2,5.791919889502762
affm,535,7,10,2,7.227102803738318
Againsto,647,7,10,2,6.883771251931994
Agamon,705,7.5,10,2,7.153191489361702
agashamirv,713,7,10,1,6.478260869565218
agent_t_bib,558,7,10,1,6.482078853046595
agentzen,794,7,10,1,6.369899244332494
AGKorson,636,7,10,1,7.081761006289308
agltbialik,584,8,10,2,7.678082191780822
Agnieszka Rz1,646,7,10,1,6.797987616099071
Agzaroth,744,7,10,1,6.784677419354839
ahazperutz,983,5,10,1,5.128179043743642
AHforever,620,7.407500000000001,9.99,2,7.23081129032258
ahn sung jun,872,7.5,10,3,7.441055045871559
Aiken Drum,809,6,10,2,6.504326328800989
Ainvar75,653,7,10,3,6.839969372128637
airjudden,711,6,10,1,6.192827004219409
airmarkus,566,7,10,4,6.780035335689046
airsw79,549,5,10,1,5.602914389799635
airydisk,1068,7,9.1,2,6.735299625468165
